iter	Passed	Remaining
206	547	2096
207	548	2089
208	550	2082
209	551	2076
210	553	2068
211	554	2062
212	556	2055
213	557	2048
214	559	2042
215	560	2036
216	562	2029
217	563	2021
218	565	2017
219	567	2010
220	568	2004
221	570	1997
222	571	1992
223	573	1987
224	575	1981
225	576	1974
226	578	1968
227	579	1961
228	580	1954
229	581	1948
230	583	1943
231	585	1937
232	586	1930
233	587	1924
234	589	1918
235	590	1912
236	591	1905
237	592	1898
238	594	1891
239	595	1884
240	596	1879
241	598	1873
242	599	1867
243	600	1860
244	601	1855
245	603	1848
246	604	1842
247	605	1835
248	606	1829
249	607	1822
250	609	1818
251	610	1812
252	611	1806
253	613	1800
254	614	1794
255	615	1789
256	617	1784
257	618	1778
258	619	1772
259	621	1768
260	622	1762
261	624	1757
262	625	1752
263	626	1746
264	628	1742
265	629	1737
266	630	1731
267	632	1726
268	633	1721
269	635	1717
270	636	1712
271	638	1708
272	639	1703
273	641	1699
274	643	1695
275	644	1690
276	646	1687
277	647	1682
278	649	1678
279	650	1673
280	652	1669
281	653	1664
282	655	1660
283	656	1656
284	658	1652
285	660	1648
286	661	1644
287	663	1640
288	665	1637
289	667	1633
290	669	1630
291	671	1627
292	673	1624
293	674	1620
294	676	1617
295	678	1614
296	680	1610
297	681	1606
298	683	1602
299	685	1599
300	687	1595
301	688	1591
302	689	1586
303	691	1583
304	692	1578
305	694	1574
306	695	1570
307	697	1566
308	698	1562
309	699	1557
310	701	1553
311	702	1548
312	704	1545
313	705	1541
314	706	1537
315	708	1533
316	709	1529
317	711	1525
318	712	1520
319	713	1516
320	714	1511
321	716	1508
322	717	1504
323	718	1499
324	720	1495
325	721	1491
326	723	1488
327	724	1484
328	725	1480
329	727	1476
330	728	1473
331	730	1469
332	731	1465
333	733	1461
334	734	1457
335	736	1454
336	737	1451
337	738	1446
338	740	1442
339	741	1440
340	743	1436
341	744	1432
342	746	1429
343	747	1425
344	748	1421
345	750	1417
346	751	1414
347	752	1410
348	753	1406
349	755	1402
350	756	1398
351	757	1395
352	759	1391
353	760	1388
354	762	1384
355	763	1381
356	764	1377
357	766	1374
358	768	1371
359	769	1368
360	771	1365
361	773	1363
362	775	1360
363	776	1357
364	778	1354
365	780	1351
366	781	1348
367	784	1347
368	786	1345
369	788	1342
370	790	1339
371	792	1337
372	794	1335
373	796	1333
374	798	1331
375	800	1329
376	802	1326
377	804	1324
378	807	1322
379	808	1319
380	811	1318
381	813	1316
382	815	1314
383	818	1312
384	820	1310
385	822	1307
386	824	1305
387	825	1302
388	828	1300
389	830	1298
390	831	1295
391	833	1292
392	834	1289
393	836	1286
394	838	1283
395	839	1280
396	841	1277
397	842	1274
398	844	1272
399	846	1269
400	848	1266
401	849	1263
402	850	1260
403	852	1257
404	853	1254
405	855	1251
406	856	1248
407	858	1245
408	859	1242
409	860	1238
410	862	1235
411	863	1232
412	865	1229
413	866	1226
414	868	1224
415	869	1220
416	871	1218
417	872	1215
418	875	1213
419	876	1210
420	877	1207
421	879	1204
422	881	1201
423	882	1198
424	883	1195
425	885	1192
426	886	1189
427	888	1187
428	889	1184
429	890	1181
430	892	1177
431	894	1175
432	895	1172
433	896	1169
434	897	1166
435	899	1164
436	901	1161
437	903	1158
438	904	1155
439	906	1153
440	907	1150
441	909	1148
442	911	1145
443	912	1143
444	914	1140
445	915	1137
446	917	1134
447	919	1132
448	920	1129
449	921	1126
450	922	1123
451	924	1120
452	926	1118
453	927	1115
454	929	1113
